age,mileage,brand,model,price
5,50000,Toyota,Corolla,12000
3,30000,Honda,Civic,15000
8,80000,Ford,Focus,8000
2,20000,BMW,3 Series,25000
4,40000,Toyota,Camry,14000
7,75000,Honda,Accord,10000
6,60000,Ford,Fiesta,7000
1,10000,BMW,X5,45000
3,35000,Toyota,Yaris,11000
5,55000,Honda,CR-V,16000
2,25000,Ford,Mustang,28000
4,42000,BMW,5 Series,32000
8,82000,Toyota,Prius,9000
6,65000,Honda,Pilot,13000
3,30000,Ford,Explorer,19000
5,50000,BMW,X3,27000
1,15000,Toyota,Avalon,24000
7,70000,Honda,Odyssey,11000
4,43000,Ford,Edge,15000
2,23000,BMW,Z4,29000
10,90000,Toyota,Corolla,7000
3,25000,Honda,Civic,16000
12,120000,Ford,Focus,5000
5,60000,BMW,3 Series,20000
2,18000,Toyota,Camry,23000
9,85000,Honda,Accord,9000
4,30000,Ford,Fiesta,7500
6,55000,BMW,X5,30000
8,78000,Toyota,Yaris,9500
7,70000,Honda,CR-V,14000
1,12000,Ford,Mustang,32000
5,49000,BMW,5 Series,28000
11,100000,Toyota,Prius,6500
3,40000,Honda,Pilot,19000
2,21000,Ford,Explorer,24000
6,50000,BMW,X3,25000
4,32000,Toyota,Avalon,20000
7,68000,Honda,Odyssey,12000
10,95000,Ford,Edge,8000
1,10000,BMW,Z4,35000
6,45000,Toyota,Sienna,18000
3,27000,Honda,HR-V,15000
8,80000,Ford,Escape,13000
2,19000,BMW,4 Series,30000
5,40000,Toyota,Highlander,21000
12,110000,Honda,Ridgeline,7000
9,87000,Ford,Fusion,8500
1,5000,BMW,X1,40000
7,72000,Toyota,RAV4,13000
3,26000,Honda,Insight,17000
6,49000,Ford,F-150,18000
4,38000,BMW,2 Series,25000
10,95000,Toyota,Tacoma,12000
2,15000,Honda,Passport,24000
5,41000,Ford,Bronco,22000
8,81000,BMW,7 Series,27000
4,42000,Toyota,4Runner,21000
9,94000,Honda,Element,9000
6,56000,Ford,Ranger,15000
